คำที่ลูกค้าพิมพ์,ชื่อมาตรฐานในระบบ,หน่วยมาตรฐาน,,ชื่อสินค้าอัพเดท 05/06/69
"กวางตุ้งใบ, กวางตุ้งนอก, taiwan bok choy, taiwan bok choi",กวางตุ้งไต้หวัน | TAIWAN BOK CHOY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กวางตุ้งไต้หวัน | TAIWAN BOK CHOY
"เบบี้ฮ่องเต้, baby taiwan, baby taiwan bok choy, baby taiwan bok choi",เบบี้ฮ่องเต้ | BABY TAIWAN BOK CHOY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เบบี้ฮ่องเต้ | BABY TAIWAN BOK CHOY
"กวางตุ้งใบ, กวางตุ้งไทย, ตุ้งไทย, thai bok choy, thai bok choi",กวางตุ้งไทย | THAI BOK CHOY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กวางตุ้งไทย | THAI BOK CHOY
กะหล่ำดาว,กะหล่ำดาว | BRUSSELS SPROUT,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กะหล่ำดาว | BRUSSELS SPROUT
"กะหล่ำปลี, ปลีแบน, กะหล่ำแบน, กะหลำปลี, กระหล่ำปลี, กะหล่ำปลีแบน, cabbage",กะหล่ำปลีแบน | CABBAGE,"กก, กรัม, Kg, g., kg, ลูก, หัว, ชิ้น,  กิโล, กิโลกรัม, โล",,กะหล่ำปลีแบน | CABBAGE
"กะหล่ำปลีม่วง, กะหล่ำม่วง, กระหล่ำม่วง, red cabbage",กะหล่ำปลีม่วง | RED CABBAGE,"กก, กรัม, Kg, g., kg, ลูก, หัว, ชิ้น,  กิโล, กิโลกรัม, โล",,กะหล่ำปลีม่วง | RED CABBAGE
กะหล่ำหัวใจ,กะหล่ำปลีหัวใจ | POINTED CABBAGE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กะหล่ำปลีหัวใจ | POINTED CABBAGE
"กุยช่าย, chives, ใบกุ่ยช่าย, ใบกุยช่าย",กุยช่าย | CHIVES LEAVES,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กุยช่าย | CHIVES LEAVES
"กุยช่ายขาว, ช่ายขาว กุยขาว, ใบกุยช่ายขาว, white chives",กุยช่ายขาว | WHITE CHIVES LEAVES,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กุยช่ายขาว | WHITE CHIVES LEAVES
"ฉ่อยเบบี้, เบบี้ฉ่อย, เบบี้บ็อคฉ่อย, baby bokchoy, เบเบี้บล็อกฉ่อย",เบบี้ฉ่อย | BABY BOK CHOY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เบบี้ฉ่อย | BABY BOK CHOY
"บ็อคฉ่อย, บล็อคฉ่อย, บล็อคช่อย, bok choy, bok choi",บล็อคฉ่อย | BOK CHOY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,บล็อคฉ่อย | BOK CHOY
"คะน้า,",คะน้า | CHINESE KALE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,คะน้า | CHINESE KALE
"เบบี้คะน้า, ฮ่องกงเบบี้, เบบี้ฮ่องกง, เบบี้คะน้าฮ่องกง, baby kana",เบบี้คะน้าฮ่องกง | BABY HONG KONG KALE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เบบี้คะน้าฮ่องกง | BABY HONG KONG KALE
"คะน้าฮ่องกง, น้าฮ่องกง",คะน้าฮ่องกง | HONG KONG KALE Thailand,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,คะน้าฮ่องกง | HONG KONG KALE Thailand
"คื่นฉ่าย, ขึ้นฉ่าย, คื่นช่าย, คื่นไช่",คื่นฉ่าย | CHINESE CELERY (THAI CELERY),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,คื่นฉ่าย | CHINESE CELERY (THAI CELERY)
ชะอม,ชะอม คัดตัดแต่ง | CLIMBING WATTLE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ชะอม คัดตัดแต่ง | CLIMBING WATTLE
"ชะพลู, ใบชะพลู",ชะพลู | PIPER SARMENTOSUM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ชะพลู | PIPER SARMENTOSUM
"เซอราลี่, เซอลาลี่. เซลลาลี่, เซเลอรี่, เซลาลี่, Celery",เซอราลี่ | CELERY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เซอราลี่ | CELERY
"ดอกกะหล่ำขาว, ดอกระหล่ำขาว, ดอกกะหล่ำ, ดอกกะหล่ำขาวนอก, กะหล่ำขาวจีน, กะหล่ำขาว, ดอกกระหล่ำขาว, ดอกกระหล่ำขาว, ดอกกระหล่ำ, ดอกกระหล่ำขาวนอก, กระหล่ำขาวจีน, กระหล่ำขาว, white cauliflower",ดอกกะหล่ำขาว | WHITE CAULIFLOWER ,"กก, กรัม, Kg, g., kg, ลูก, หัว, ชิ้น,  กิโล, กิโลกรัม, โล",,ดอกกะหล่ำขาว | WHITE CAULIFLOWER
"ดอกกะหล่ำขาวไทย, ดอกกะหล่ำขาวไทย, กะหล่ำขาวไทย, ดอกกระหล่ำขาวไทย, กระหล่ำขาวไทย, Thai white cauliflower, white cauliflower thai, white cauliflower thailand",ดอกกะหล่ำขาว ไทย | WHITE CAULIFLOWER Thailand,"กก, กรัม, Kg, g., kg, ลูก, หัว, ชิ้น,  กิโล, กิโลกรัม, โล",,ดอกกะหล่ำขาว ไทย | WHITE CAULIFLOWER Thailand
"ผักกาดแด้ว, ผักกาดแก้ว, iceberg lettuce",ผักกาดแก้ว | ICEBERG LETTUCE,"กก, กรัม, Kg, g., kg, ลูก, หัว, ชิ้น,  กิโล, กิโลกรัม, โล",,ผักกาดแก้ว | ICEBERG LETTUCE
"ผักกาดขาว, ผักกาดขาว ลุ้ย, ผักกาด, ลุ้ย, chinese cabbage",ผักกาดขาว | CHINESE CABBAGE,"กก, กรัม, Kg, g., kg, ลูก, หัว, ชิ้น,  กิโล, กิโลกรัม, โล",,ผักกาดขาว | CHINESE CABBAGE
"ผักกาดสร้อย, ผักกาดหิ่น",ผักกาดสร้อย (ผักกาดหิ่น) | MUSTARD GREENS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักกาดสร้อย (ผักกาดหิ่น) | MUSTARD GREENS
"ผักกาดหอมจีน, ผักกาดหอม จีน",ผักกาดหอมจีน | CHINESE LETTUCE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักกาดหอมจีน | CHINESE LETTUCE
"ผักกาดหอมไทย, ผักกาดหอม",ผักกาดหอมไทย | THAI LETTUCE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักกาดหอมไทย | THAI LETTUCE
"ผักก้านจอง, ก้านจอง",ผักก้านจอง | LIMNOCHARIS FLAVA,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักก้านจอง | LIMNOCHARIS FLAVA
"คะน้าใบหยิก, Kale, เคล",ผักคะน้าใบหยิก | KALE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักคะน้าใบหยิก | KALE
ผักแขยง,ผักแขยง | RICE PADDY HERB,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักแขยง | RICE PADDY HERB
"ผักแพว, ผักแพรว, แพว",ผักแพว | VIETNAMESE CORIANDER,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักแพว | VIETNAMESE CORIANDER
ผักปล้ง,ผักปลัง | CEYLON SPINACH,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักปลัง | CEYLON SPINACH
